m_chi10,m_stop
373.3000,490.4000
374.2000,489.5000
377.7000,488.1000
378.7000,486.5000
380.0000,485.3000
383.3000,483.6000
389.9000,485.2000
392.0000,486.5000
399.7000,491.5000
405.0000,495.2000
406.5000,496.6000
412.6000,501.6000
418.5000,506.6000
424.3000,511.6000
430.0000,516.6000
435.8000,521.6000
439.1000,524.4000
442.0000,526.6000
448.1000,531.7000
454.1000,536.7000
459.9000,541.7000
465.5000,546.7000
471.1000,551.7000
476.3000,556.7000
481.1000,561.8000
485.6000,566.8000
490.1000,571.8000
494.7000,576.8000
499.3000,581.8000
504.2000,586.8000
509.3000,591.8000
514.7000,596.9000
520.6000,601.9000
523.3000,603.6000
529.1000,606.9000
535.3000,610.5000
540.0000,611.9000
542.8000,613.0000
543.7000,611.9000
545.0000,610.2000
545.6000,606.9000
545.7000,605.9000
545.5000,601.9000
545.8000,601.0000
545.7000,596.9000
546.0000,596.2000
546.7000,591.8000
546.7000,591.8000
548.8000,589.0000
551.1000,586.8000
551.5000,586.6000
553.5000,586.8000
557.7000,587.8000
566.7000,591.8000
566.9000,591.8000
573.1000,593.2000
572.4000,591.8000
569.4000,586.8000
566.7000,581.8000
566.7000,581.7000
562.6000,576.8000
558.3000,571.8000
554.0000,566.8000
550.3000,561.8000
548.0000,558.0000
547.0000,556.7000
542.6000,551.7000
538.0000,546.7000
533.3000,541.7000
528.5000,536.7000
523.8000,531.7000
519.0000,526.6000
514.2000,521.6000
509.4000,516.6000
504.7000,511.6000
499.9000,506.6000
495.1000,501.6000
490.3000,496.6000
485.4000,491.5000
480.3000,486.5000
475.3000,481.5000
470.3000,476.5000
465.3000,471.5000
460.5000,466.5000
455.9000,461.4000
452.0000,457.0000
451.4000,456.4000
446.4000,451.4000
441.4000,446.4000
436.4000,441.4000
431.4000,436.4000
426.3000,431.3000
421.3000,426.3000
416.3000,421.3000
411.3000,416.3000
406.3000,411.3000
401.3000,406.3000
396.3000,401.3000
391.2000,396.2000
386.2000,391.2000
381.2000,386.2000
376.2000,381.2000
371.2000,376.2000
366.2000,371.2000
361.1000,366.1000
356.1000,361.1000
351.1000,356.1000
346.1000,351.1000
341.1000,346.1000
336.1000,341.1000
331.1000,336.1000
326.0000,331.0000
321.0000,326.0000
316.0000,321.0000
311.0000,316.0000
306.0000,311.0000
301.0000,306.0000
295.9000,300.9000
0.0000,1259.2000
13.0000,1258.9000
15.0000,1258.9000
19.9000,1258.8000
24.8000,1258.7000
29.8000,1258.6000
34.7000,1258.5000
39.6000,1258.4000
44.4000,1258.2000
49.3000,1258.1000
54.1000,1257.9000
58.9000,1257.7000
63.7000,1257.4000
68.5000,1257.2000
73.2000,1256.9000
77.9000,1256.6000
82.6000,1256.3000
87.3000,1256.0000
92.0000,1255.6000
96.7000,1255.3000
101.3000,1254.9000
105.9000,1254.5000
110.5000,1254.1000
112.2000,1253.9000
115.1000,1253.6000
119.6000,1253.1000
124.1000,1252.6000
128.6000,1252.1000
133.0000,1251.5000
137.5000,1251.0000
141.9000,1250.4000
146.3000,1249.8000
150.7000,1249.2000
152.6000,1248.9000
155.1000,1248.6000
159.6000,1248.0000
163.9000,1247.3000
168.3000,1246.7000
172.7000,1246.0000
177.0000,1245.4000
181.4000,1244.7000
185.7000,1244.0000
186.6000,1243.9000
190.1000,1243.4000
194.4000,1242.7000
198.7000,1242.0000
203.1000,1241.3000
207.4000,1240.6000
211.7000,1239.9000
216.0000,1239.2000
217.8000,1238.9000
220.3000,1238.5000
224.6000,1237.8000
228.9000,1237.1000
233.2000,1236.4000
237.5000,1235.7000
241.9000,1235.0000
246.2000,1234.3000
248.8000,1233.9000
250.5000,1233.6000
254.9000,1233.0000
259.3000,1232.3000
263.7000,1231.7000
268.1000,1231.1000
272.5000,1230.5000
276.9000,1229.9000
281.4000,1229.3000
284.8000,1228.8000
285.8000,1228.7000
290.2000,1228.1000
294.6000,1227.5000
299.0000,1226.9000
303.4000,1226.3000
307.8000,1225.7000
312.1000,1225.0000
316.5000,1224.3000
319.5000,1223.8000
320.8000,1223.6000
325.1000,1222.9000
329.4000,1222.2000
333.7000,1221.5000
338.0000,1220.7000
342.2000,1220.0000
346.4000,1219.2000
348.3000,1218.8000
350.6000,1218.4000
354.8000,1217.5000
359.0000,1216.7000
363.2000,1215.8000
367.3000,1215.0000
371.4000,1214.0000
372.5000,1213.8000
375.5000,1213.1000
379.6000,1212.2000
383.7000,1211.3000
387.7000,1210.3000
391.7000,1209.3000
393.7000,1208.8000
395.7000,1208.3000
399.8000,1207.3000
403.7000,1206.2000
407.6000,1205.1000
411.4000,1203.9000
411.8000,1203.8000
415.3000,1202.8000
419.2000,1201.6000
423.0000,1200.5000
426.8000,1199.2000
428.2000,1198.7000
430.5000,1197.9000
434.1000,1196.5000
437.6000,1194.9000
440.2000,1193.7000
441.0000,1193.4000
444.3000,1191.7000
447.5000,1189.8000
449.2000,1188.7000
450.6000,1187.9000
453.6000,1185.9000
456.4000,1183.7000
456.4000,1183.7000
459.3000,1181.5000
461.9000,1179.1000
462.3000,1178.7000
464.4000,1176.7000
466.8000,1174.0000
467.0000,1173.7000
469.1000,1171.3000
471.0000,1168.7000
471.2000,1168.4000
473.2000,1165.4000
474.2000,1163.6000
475.1000,1162.2000
476.7000,1158.9000
476.8000,1158.6000
478.2000,1155.3000
478.8000,1153.6000
479.3000,1151.4000
479.9000,1148.6000
480.2000,1147.3000
480.8000,1143.6000
481.0000,1143.1000
482.0000,1139.1000
482.2000,1138.6000
483.4000,1135.4000
484.1000,1133.5000
484.9000,1131.9000
486.5000,1128.5000
486.5000,1128.5000
488.3000,1125.3000
489.3000,1123.5000
490.1000,1122.1000
492.1000,1119.0000
492.4000,1118.5000
494.0000,1116.0000
495.6000,1113.5000
496.0000,1112.9000
498.0000,1109.9000
498.9000,1108.5000
499.9000,1106.8000
501.8000,1103.6000
501.9000,1103.4000
503.5000,1100.4000
504.5000,1098.4000
505.2000,1097.0000
506.8000,1093.6000
506.9000,1093.4000
508.3000,1090.1000
508.9000,1088.4000
509.6000,1086.4000
510.5000,1083.4000
510.7000,1082.5000
511.5000,1078.4000
511.5000,1078.3000
511.9000,1073.6000
511.9000,1073.4000
511.7000,1068.4000
511.7000,1068.3000
510.9000,1063.3000
510.7000,1062.4000
509.6000,1058.3000
508.7000,1055.4000
507.9000,1053.3000
505.9000,1048.3000
505.5000,1047.2000
503.9000,1043.3000
502.2000,1038.8000
501.9000,1038.2000
499.9000,1033.2000
498.7000,1030.4000
497.8000,1028.2000
495.7000,1023.2000
495.1000,1021.7000
493.5000,1018.2000
491.3000,1013.2000
491.2000,1012.8000
489.1000,1008.2000
487.0000,1003.6000
486.8000,1003.1000
484.4000,998.1000
482.1000,993.7000
481.8000,993.1000
479.1000,988.1000
476.3000,983.1000
475.9000,982.5000
473.4000,978.1000
470.5000,973.0000
469.3000,970.9000
467.7000,968.0000
465.0000,963.0000
463.3000,959.8000
462.3000,958.0000
459.9000,953.0000
458.8000,950.3000
457.8000,948.0000
455.6000,942.9000
455.0000,941.5000
453.6000,937.9000
452.2000,933.7000
452.0000,932.9000
451.2000,927.9000
451.2000,927.7000
451.5000,923.0000
451.5000,922.9000
452.6000,919.1000
453.0000,917.9000
454.1000,915.5000
455.3000,912.9000
455.7000,912.1000
457.3000,908.7000
457.8000,907.8000
459.1000,905.5000
460.4000,902.8000
460.8000,902.2000
462.6000,899.0000
463.3000,897.8000
464.4000,895.8000
466.0000,892.8000
466.2000,892.5000
467.8000,889.1000
468.3000,887.8000
469.0000,885.3000
469.5000,882.8000
469.8000,881.1000
470.5000,877.7000
470.7000,876.9000
471.5000,872.8000
471.5000,872.7000
472.3000,868.5000
472.4000,867.7000
473.0000,864.2000
473.2000,862.7000
473.6000,859.8000
473.8000,857.7000
474.1000,855.3000
474.4000,852.7000
474.7000,850.9000
475.1000,847.6000
475.2000,846.4000
475.6000,842.6000
475.7000,841.8000
476.2000,837.6000
476.3000,837.4000
477.4000,833.5000
477.6000,832.6000
478.8000,829.9000
479.9000,827.6000
480.4000,826.5000
482.0000,823.0000
482.1000,822.6000
483.4000,819.5000
484.1000,817.6000
484.8000,815.8000
485.8000,812.5000
486.0000,812.0000
487.0000,808.0000
487.0000,807.5000
487.8000,803.7000
487.9000,802.5000
488.3000,799.3000
488.4000,797.5000
488.6000,794.5000
488.5000,792.5000
488.5000,789.4000
488.4000,787.5000
488.2000,784.1000
488.0000,782.4000
487.5000,778.4000
487.3000,777.4000
486.3000,772.4000
486.2000,772.1000
484.9000,767.4000
484.0000,764.9000
483.1000,762.4000
481.0000,757.4000
480.5000,756.4000
478.5000,752.4000
475.8000,747.3000
474.8000,745.7000
472.7000,742.3000
469.3000,737.3000
465.5000,732.3000
462.2000,728.0000
461.6000,727.3000
457.5000,722.3000
453.4000,717.2000
449.2000,712.2000
445.0000,707.2000
440.9000,702.2000
438.8000,699.6000
436.9000,697.2000
432.9000,692.2000
428.9000,687.1000
424.8000,682.1000
420.7000,677.1000
417.0000,672.8000
416.4000,672.1000
412.1000,667.1000
407.7000,662.1000
403.3000,657.1000
398.9000,652.0000
394.7000,647.0000
390.8000,642.0000
389.5000,640.3000
387.0000,637.0000
383.3000,632.0000
379.8000,627.0000
376.7000,622.4000
376.3000,621.9000
372.8000,616.9000
369.3000,611.9000
365.9000,606.9000
365.3000,606.0000
362.4000,601.9000
358.8000,596.9000
355.3000,591.8000
353.6000,589.3000
351.8000,586.8000
348.3000,581.8000
344.8000,576.8000
341.8000,572.5000
341.3000,571.8000
338.2000,566.8000
337.7000,565.8000
332.1000,561.8000
337.5000,565.7000
339.8000,566.8000
342.3000,568.0000
351.0000,571.8000
351.1000,571.8000
359.6000,575.2000
364.1000,576.8000
367.3000,578.0000
374.0000,579.6000
378.0000,578.6000
377.2000,576.8000
374.4000,571.8000
371.6000,567.2000
371.7000,566.8000
369.7000,561.8000
366.8000,557.4000
