m_chi10,m_stop
415.7000,539.1000
414.3000,536.7000
411.0000,531.7000
410.1000,530.5000
407.0000,526.6000
402.9000,521.6000
398.6000,516.6000
394.5000,511.6000
391.1000,506.6000
389.5000,504.9000
386.4000,501.6000
383.2000,496.6000
382.3000,492.6000
382.2000,491.5000
382.5000,487.9000
384.3000,486.5000
385.3000,485.7000
387.9000,486.5000
393.3000,488.6000
397.4000,491.5000
404.2000,496.6000
410.6000,501.6000
414.5000,504.8000
416.6000,506.6000
422.2000,511.6000
427.8000,516.6000
433.5000,521.6000
439.3000,526.6000
445.1000,531.7000
450.8000,536.7000
456.3000,541.7000
457.7000,543.0000
461.8000,546.7000
467.5000,551.7000
472.8000,556.7000
477.9000,561.8000
482.7000,566.8000
487.6000,571.8000
492.6000,576.8000
497.4000,581.8000
502.3000,586.8000
507.6000,591.8000
513.2000,596.9000
519.3000,601.9000
525.8000,606.1000
527.2000,606.9000
535.5000,611.9000
538.7000,613.9000
546.2000,616.9000
547.5000,617.7000
555.2000,620.4000
558.0000,621.9000
565.6000,627.0000
568.8000,629.0000
574.6000,629.7000
575.1000,627.0000
574.1000,624.3000
572.6000,621.9000
567.4000,616.9000
565.0000,615.2000
560.2000,611.9000
555.0000,606.9000
552.4000,602.6000
551.9000,601.9000
551.1000,596.9000
551.1000,596.3000
553.4000,593.5000
558.5000,593.6000
566.5000,596.9000
567.1000,597.2000
575.4000,601.9000
577.6000,602.7000
582.2000,602.3000
582.1000,601.9000
579.7000,596.9000
576.6000,591.8000
576.3000,591.3000
572.6000,586.8000
568.3000,581.8000
563.9000,576.8000
559.5000,571.8000
555.5000,566.8000
553.1000,563.1000
552.3000,561.8000
548.3000,556.7000
543.9000,551.7000
539.3000,546.7000
534.5000,541.7000
529.8000,536.7000
525.2000,531.7000
520.5000,526.6000
515.7000,521.6000
510.8000,516.6000
506.0000,511.6000
501.2000,506.6000
496.4000,501.6000
492.2000,497.2000
491.6000,496.6000
486.5000,491.5000
481.5000,486.5000
476.5000,481.5000
471.5000,476.5000
466.5000,471.5000
461.5000,466.5000
456.4000,461.4000
451.4000,456.4000
446.4000,451.4000
441.4000,446.4000
436.4000,441.4000
431.4000,436.4000
426.3000,431.3000
421.3000,426.3000
416.3000,421.3000
411.3000,416.3000
406.3000,411.3000
401.3000,406.3000
396.3000,401.3000
391.2000,396.2000
386.2000,391.2000
381.2000,386.2000
376.2000,381.2000
371.2000,376.2000
366.2000,371.2000
361.1000,366.1000
356.1000,361.1000
351.1000,356.1000
346.1000,351.1000
341.1000,346.1000
336.1000,341.1000
331.1000,336.1000
326.0000,331.0000
321.0000,326.0000
316.0000,321.0000
311.0000,316.0000
306.0000,311.0000
301.0000,306.0000
295.9000,300.9000
0.0000,1258.7000
9.4000,1258.3000
14.2000,1258.1000
19.1000,1257.9000
23.9000,1257.7000
28.7000,1257.5000
33.5000,1257.3000
38.3000,1257.1000
43.1000,1256.9000
47.9000,1256.7000
52.7000,1256.5000
57.5000,1256.2000
62.3000,1256.0000
67.0000,1255.8000
71.8000,1255.5000
76.6000,1255.3000
81.4000,1255.1000
86.2000,1254.8000
91.0000,1254.6000
95.8000,1254.4000
100.6000,1254.2000
105.4000,1254.0000
107.9000,1253.9000
110.2000,1253.8000
115.0000,1253.6000
119.7000,1253.3000
124.4000,1253.0000
129.1000,1252.6000
133.8000,1252.3000
138.4000,1251.9000
143.0000,1251.5000
147.7000,1251.1000
152.2000,1250.7000
156.8000,1250.2000
161.4000,1249.8000
165.9000,1249.3000
169.8000,1248.9000
170.5000,1248.8000
175.0000,1248.4000
179.6000,1247.9000
184.1000,1247.5000
188.7000,1247.0000
193.2000,1246.5000
197.7000,1246.0000
202.2000,1245.4000
206.7000,1244.9000
211.1000,1244.4000
214.8000,1243.9000
215.6000,1243.8000
220.1000,1243.3000
224.5000,1242.7000
229.0000,1242.2000
233.5000,1241.6000
237.9000,1241.0000
242.3000,1240.5000
246.8000,1239.9000
251.2000,1239.3000
253.9000,1238.9000
255.6000,1238.7000
260.0000,1238.1000
264.4000,1237.5000
268.8000,1236.9000
273.2000,1236.3000
277.6000,1235.6000
282.0000,1235.0000
286.4000,1234.4000
290.1000,1233.9000
290.8000,1233.8000
295.2000,1233.2000
299.6000,1232.5000
304.0000,1231.9000
308.4000,1231.2000
312.7000,1230.6000
317.0000,1229.9000
321.3000,1229.2000
323.2000,1228.8000
325.6000,1228.4000
329.9000,1227.7000
334.2000,1227.0000
338.4000,1226.2000
342.7000,1225.4000
346.9000,1224.6000
350.7000,1223.8000
351.0000,1223.8000
355.2000,1222.9000
359.4000,1222.1000
363.6000,1221.2000
367.7000,1220.3000
371.8000,1219.4000
374.3000,1218.8000
375.8000,1218.5000
379.9000,1217.6000
384.0000,1216.6000
388.0000,1215.6000
392.0000,1214.6000
394.9000,1213.8000
396.0000,1213.5000
399.9000,1212.5000
403.8000,1211.4000
407.7000,1210.2000
411.4000,1208.9000
411.7000,1208.8000
415.1000,1207.6000
418.8000,1206.3000
422.5000,1204.9000
425.8000,1203.8000
426.2000,1203.6000
429.8000,1202.2000
433.4000,1200.8000
436.9000,1199.2000
437.9000,1198.7000
440.2000,1197.6000
443.4000,1195.8000
446.6000,1193.9000
446.9000,1193.7000
449.6000,1191.9000
452.5000,1189.8000
453.8000,1188.7000
455.3000,1187.6000
458.0000,1185.2000
459.5000,1183.7000
460.5000,1182.8000
462.9000,1180.2000
464.1000,1178.7000
465.2000,1177.4000
467.3000,1174.5000
467.7000,1173.7000
469.2000,1171.4000
470.6000,1168.7000
470.9000,1168.1000
472.5000,1164.6000
472.8000,1163.6000
473.7000,1160.8000
474.3000,1158.6000
474.6000,1156.7000
474.9000,1153.6000
474.8000,1152.0000
474.6000,1148.6000
474.5000,1146.6000
474.2000,1143.6000
474.1000,1141.2000
473.9000,1138.6000
474.0000,1136.0000
473.9000,1133.5000
474.0000,1131.1000
474.1000,1128.5000
474.2000,1126.3000
474.4000,1123.5000
474.6000,1121.6000
474.9000,1118.5000
475.1000,1117.1000
475.5000,1113.5000
475.7000,1112.7000
476.4000,1108.5000
476.5000,1108.4000
477.4000,1104.4000
477.6000,1103.4000
478.6000,1100.5000
479.2000,1098.4000
479.9000,1096.8000
481.1000,1093.4000
481.2000,1093.1000
482.7000,1089.6000
483.1000,1088.4000
484.0000,1085.9000
484.9000,1083.4000
485.3000,1082.1000
486.3000,1078.4000
486.3000,1078.2000
487.1000,1073.9000
487.1000,1073.4000
487.4000,1069.3000
487.5000,1068.3000
487.4000,1064.2000
487.3000,1063.3000
486.6000,1058.4000
486.6000,1058.3000
485.3000,1053.3000
484.6000,1051.4000
483.5000,1048.3000
481.6000,1043.3000
481.5000,1043.3000
479.4000,1038.2000
477.3000,1034.1000
476.9000,1033.2000
474.0000,1028.2000
470.9000,1023.2000
470.0000,1021.7000
467.7000,1018.2000
464.4000,1013.2000
460.9000,1008.2000
459.8000,1006.5000
457.4000,1003.1000
453.8000,998.1000
450.1000,993.1000
446.3000,988.1000
446.2000,987.9000
442.4000,983.1000
438.4000,978.1000
434.3000,973.0000
430.0000,968.0000
425.7000,963.0000
421.3000,958.0000
420.8000,957.5000
416.7000,953.0000
412.1000,948.0000
407.2000,942.9000
402.4000,937.9000
397.8000,932.9000
393.4000,927.9000
389.4000,922.9000
385.7000,917.9000
384.9000,916.6000
382.5000,912.9000
379.9000,907.8000
379.0000,905.7000
378.0000,902.8000
377.4000,899.0000
377.2000,897.8000
377.9000,894.5000
378.2000,892.8000
378.8000,890.4000
379.4000,887.8000
379.8000,886.4000
380.9000,882.8000
381.0000,882.5000
382.4000,878.9000
382.8000,877.7000
383.9000,875.4000
385.1000,872.7000
385.5000,872.0000
387.1000,868.6000
387.6000,867.7000
388.7000,865.2000
389.9000,862.7000
390.3000,861.7000
391.6000,858.0000
391.7000,857.7000
392.5000,854.0000
392.8000,852.7000
392.4000,848.9000
392.4000,847.6000
391.6000,843.0000
391.6000,842.6000
391.1000,837.6000
391.0000,837.4000
390.6000,832.6000
390.6000,832.0000
390.4000,827.6000
390.4000,826.8000
390.7000,822.6000
390.7000,822.1000
391.5000,817.8000
391.6000,817.6000
392.8000,814.1000
393.5000,812.5000
394.5000,810.8000
396.6000,807.8000
396.8000,807.5000
399.0000,805.2000
401.6000,802.9000
402.1000,802.5000
404.6000,800.8000
407.6000,798.8000
409.5000,797.5000
410.6000,796.8000
413.7000,794.9000
416.7000,792.9000
417.2000,792.5000
419.7000,790.9000
422.7000,788.9000
424.6000,787.5000
425.6000,786.8000
428.5000,784.6000
431.2000,782.4000
431.3000,782.4000
433.9000,780.0000
436.4000,777.5000
436.5000,777.4000
438.7000,774.7000
440.1000,772.4000
440.6000,771.6000
441.9000,768.0000
442.1000,767.4000
442.6000,763.6000
442.6000,762.4000
442.5000,758.5000
442.4000,757.4000
441.9000,752.9000
441.8000,752.4000
440.7000,747.3000
440.4000,746.4000
439.0000,742.3000
437.1000,738.0000
436.7000,737.3000
434.0000,732.3000
431.1000,727.3000
430.5000,726.5000
427.8000,722.3000
424.4000,717.2000
420.8000,712.2000
419.5000,710.4000
417.2000,707.2000
413.6000,702.2000
409.6000,697.2000
405.2000,692.2000
400.4000,687.1000
395.1000,682.1000
389.8000,677.1000
384.4000,672.1000
379.2000,667.1000
