m_chi10,m_slepton
17.3074,101.6798
25.2433,115.0880
31.6747,131.3954
33.6149,134.9504
43.9689,147.7029
49.9223,152.5116
66.2297,158.2249
82.5371,157.2915
98.8446,157.5576
105.6716,164.0103
115.1520,176.0919
118.0778,180.3177
131.4594,194.5218
132.0026,196.6251
139.3982,212.9326
147.7669,220.7810
164.0743,228.7336
165.0266,229.2400
178.1161,245.5474
180.3817,249.4608
188.9762,261.8549
196.6891,267.8144
212.9966,274.2712
218.9346,278.1623
227.9308,294.4697
229.3040,297.8128
235.0334,310.7771
245.6114,322.5599
252.9588,327.0846
261.9189,335.4548
266.9703,343.3920
273.3081,359.6994
278.2263,368.7823
283.4889,376.0069
294.5337,389.0042
297.9234,392.3143
309.0365,408.6217
310.8411,411.4606
319.2275,424.9291
327.1486,436.2383
331.4712,441.2366
342.5142,457.5440
343.4560,459.3323
351.2985,473.8514
359.7634,487.3601
361.5370,490.1589
370.3578,506.4663
376.0709,517.7331
379.3304,522.7737
392.3783,538.9527
392.4858,539.0811
402.5409,555.3886
405.0977,571.6960
406.2565,588.0034
405.7300,604.3109
401.5776,620.6183
392.3783,636.2079
391.8334,636.9257
376.3496,653.2331
376.0709,653.4914
359.7634,665.3365
352.1347,669.5406
343.4560,673.9732
327.1486,680.4785
310.8411,685.3150
308.2930,685.8480
294.5337,688.6568
278.2263,690.6810
261.9189,691.8539
245.6114,692.3919
229.3040,692.4083
212.9966,692.0564
196.6891,692.2009
180.3817,694.1213
164.0743,695.8682
147.7669,697.1114
131.4594,697.8302
115.1520,698.0837
98.8446,698.0931
82.5371,698.6427
66.2297,698.9995
49.9223,699.1549
33.6149,699.2060
17.3074,699.3022
1.0000,699.8814
