m_chi10,m_chi1pm
98.0500,100.2000
98.3200,100.4800
98.6000,100.7700
98.8700,101.0500
99.4380,101.6400
100.0160,102.2400
100.6030,102.8500
101.2100,103.4800
101.8160,104.1100
102.4330,104.7500
103.0400,105.3800
103.6460,106.0100
104.2240,106.6100
104.8020,107.2100
105.3800,107.8100
105.9670,108.4200
106.5840,109.0600
107.1910,109.6900
107.7980,110.3200
108.4060,110.9500
109.0240,111.5900
109.6320,112.2200
110.2310,112.8400
110.8110,113.4400
111.4110,114.0600
112.0210,114.6900
112.6420,115.3300
113.2540,115.9600
113.8660,116.5900
114.4790,117.2200
115.1030,117.8600
115.7170,118.4900
116.3330,119.1200
116.9770,119.7800
117.6330,120.4500
118.2890,121.1200
118.9360,121.7800
119.5930,122.4500
120.2410,123.1100
120.8980,123.7800
121.5370,124.4300
122.1550,125.0600
122.7740,125.6900
123.4020,126.3300
124.0600,127.0000
124.7170,127.6700
125.3630,128.3300
126.0190,129.0000
126.6640,129.6600
127.3190,130.3300
127.9530,130.9800
128.5680,131.6100
129.1810,132.2400
129.7930,132.8700
130.4150,133.5100
131.0250,134.1400
131.6350,134.7700
132.2430,135.4000
132.8220,136.0000
133.4000,136.6000
133.9780,137.2000
134.5740,137.8200
135.1790,138.4500
135.7830,139.0800
136.3860,139.7100
136.9610,140.3100
137.5340,140.9100
138.1070,141.5100
138.6800,142.1100
139.2520,142.7100
139.8230,143.3100
140.3840,143.9000
140.9550,144.5000
141.5250,145.1000
142.0950,145.7000
142.6640,146.3000
143.2320,146.9000
143.7720,147.4700
144.3010,148.0300
144.8680,148.6300
145.4350,149.2300
146.0000,149.8300
146.5470,150.4100
147.0730,150.9700
147.6090,151.5400
148.1440,152.1100
148.7060,152.7100
149.2400,153.2800
149.7630,153.8400
150.2950,154.4100
150.8170,154.9700
151.3380,155.5300
151.8590,156.0900
152.3890,156.6600
152.9090,157.2200
153.4380,157.7900
153.9480,158.3400
154.4380,158.8700
154.9660,159.4400
155.4840,160.0000
156.0110,160.5700
156.5100,161.1100
157.0100,161.6500
157.5270,162.2100
158.0440,162.7700
158.5720,163.3400
159.0710,163.8800
159.5610,164.4100
160.0780,164.9700
160.6060,165.5400
161.1340,166.1100
161.6340,166.6500
162.1340,167.1900
162.6620,167.7600
163.1810,168.3200
163.7100,168.8900
164.2100,169.4300
164.7200,169.9800
165.2490,170.5500
165.7680,171.1100
166.2970,171.6800
166.7880,172.2100
167.3070,172.7700
167.8350,173.3400
168.3520,173.9000
168.8610,174.4500
169.3500,174.9800
169.8570,175.5300
170.3820,176.1000
170.8880,176.6500
171.3750,177.1800
171.8600,177.7100
172.3620,178.2600
172.8560,178.8000
173.3380,179.3300
173.8190,179.8600
174.2900,180.3800
174.7590,180.9000
175.2360,181.4300
175.7030,181.9500
176.1500,182.4500
176.5860,182.9400
177.0480,183.4600
177.4910,183.9600
177.9310,184.4600
178.3530,184.9400
178.7720,185.4200
179.2070,185.9200
179.6150,186.3900
180.0100,186.8500
180.4130,187.3200
180.8150,187.7900
181.2050,188.2500
181.5770,188.6900
181.9630,189.1500
182.3300,189.5900
182.6960,190.0300
183.0490,190.4600
183.4000,190.8900
183.7420,191.3100
184.0710,191.7200
184.4070,192.1400
184.7240,192.5400
185.0380,192.9400
185.3500,193.3400
185.6430,193.7200
185.9400,194.1100
186.2290,194.4900
186.5040,194.8600
186.7690,195.2200
187.0300,195.5800
187.2810,195.9300
187.5290,196.2800
187.7540,196.6100
187.9890,196.9500
188.1930,197.2600
188.4080,197.5900
188.5980,197.8900
188.7730,198.1800
188.9440,198.4700
189.1000,198.7500
189.2330,199.0100
189.3590,199.2600
189.4700,199.5000
189.5560,199.7200
189.6280,199.9300
189.6740,200.1200
189.7080,200.3000
189.7150,200.4600
189.6980,200.5900
189.6750,200.7200
189.6220,200.8200
189.5440,200.9000
189.4410,200.9600
189.3190,201.0000
189.1870,201.0300
189.0350,201.0400
188.8520,201.0200
188.6530,200.9900
188.4470,200.9500
188.2250,200.8900
187.9820,200.8100
187.7180,200.7100
187.4530,200.6100
187.1800,200.5000
186.8880,200.3700
186.5860,200.2300
186.2830,200.0800
185.9810,199.9300
185.6680,199.7700
185.3440,199.6000
185.0210,199.4300
184.6980,199.2600
184.3560,199.0700
184.0430,198.9000
183.7190,198.7200
183.3670,198.5200
183.0300,198.3300
182.6970,198.1400
182.3640,197.9500
182.0170,197.7500
181.6740,197.5500
181.3310,197.3500
180.9880,197.1500
180.6470,196.9500
180.2940,196.7400
179.9400,196.5300
179.6040,196.3300
179.2510,196.1200
178.8980,195.9100
178.5500,195.7000
178.2120,195.5000
177.8490,195.2800
177.4890,195.0600
177.1550,194.8600
176.7920,194.6400
176.4310,194.4200
176.0870,194.2100
175.7280,193.9900
175.3650,193.7700
175.0210,193.5600
174.6650,193.3400
174.2920,193.1100
173.9470,192.9000
173.6030,192.6900
173.2300,192.4600
172.8720,192.2400
172.5290,192.0300
172.1680,191.8100
171.7980,191.5800
171.4540,191.3700
171.0950,191.1500
170.7320,190.9300
170.3880,190.7200
170.0310,190.5000
169.6680,190.2800
169.3200,190.0700
168.9750,189.8600
168.6210,189.6500
168.2590,189.4300
167.9250,189.2300
167.5720,189.0200
167.2180,188.8100
166.8690,188.6000
166.5270,188.4000
166.1840,188.2000
165.8410,188.0000
165.4970,187.8000
165.1540,187.6000
164.8210,187.4100
164.4740,187.2100
164.1350,187.0200
163.8120,186.8400
163.4880,186.6600
163.1450,186.4700
162.8030,186.2800
162.4870,186.1100
162.1680,185.9400
161.8450,185.7700
161.5230,185.6000
161.2090,185.4400
160.8800,185.2700
160.5770,185.1200
160.2750,184.9700
159.9680,184.8200
159.6550,184.6700
159.3530,184.5300
159.0610,184.4000
158.7630,184.2700
158.4690,184.1400
158.1860,184.0200
157.9140,183.9100
157.6380,183.8000
157.3560,183.6900
157.0940,183.6000
156.8330,183.5100
156.5810,183.4300
156.3210,183.3500
156.0700,183.2800
155.8290,183.2200
155.5870,183.1600
155.3660,183.1200
155.1410,183.0800
154.9200,183.0500
154.7020,183.0200
154.5000,183.0000
154.3090,182.9900
154.1280,182.9900
153.9560,183.0000
153.7950,183.0200
153.6260,183.0400
153.4650,183.0700
153.3040,183.1000
153.1710,183.1500
153.0290,183.1900
152.9080,183.2500
152.7870,183.3100
152.6750,183.3800
152.5640,183.4500
152.4660,183.5300
152.3750,183.6100
152.2830,183.6900
152.2010,183.7800
152.1290,183.8800
152.0570,183.9800
151.9910,184.0800
151.9290,184.1900
151.8670,184.3000
151.8050,184.4100
