m_chi10,m_chi1pm
97.7010,100.2700
98.0060,100.5900
98.3120,100.9100
98.6180,101.2300
98.9230,101.5500
99.4980,102.1500
100.0720,102.7500
100.6760,103.3800
101.2800,104.0100
101.8740,104.6300
102.4490,105.2300
103.0250,105.8300
103.6000,106.4300
104.1760,107.0300
104.7710,107.6500
105.3750,108.2800
105.9780,108.9100
106.5630,109.5200
107.1390,110.1200
107.7130,110.7200
108.2880,111.3200
108.8620,111.9200
109.4460,112.5300
110.0590,113.1700
110.6420,113.7800
111.2150,114.3800
111.7890,114.9800
112.3620,115.5800
112.9350,116.1800
113.5080,116.7800
114.0800,117.3800
114.6820,118.0100
115.2550,118.6100
115.8270,119.2100
116.4000,119.8100
116.9730,120.4100
117.5360,121.0000
118.1090,121.6000
118.7110,122.2300
119.2940,122.8400
119.8670,123.4400
120.4410,124.0400
121.0140,124.6400
121.5880,125.2400
122.1620,125.8400
122.7550,126.4600
123.3580,127.0900
123.9420,127.7000
124.5160,128.3000
125.0890,128.9000
125.6630,129.5000
126.2270,130.0900
126.8100,130.7000
127.4110,131.3300
127.9840,131.9300
128.5560,132.5300
129.1280,133.1300
129.6890,133.7200
130.2590,134.3200
130.8100,134.9000
131.3690,135.4900
131.9380,136.0900
132.4950,136.6800
133.0610,137.2800
133.6080,137.8600
134.1440,138.4300
134.6690,138.9900
135.2030,139.5600
135.7550,140.1500
136.2780,140.7100
136.8090,141.2800
137.3400,141.8500
137.8590,142.4100
138.3600,142.9500
138.8590,143.4900
139.3860,144.0600
139.9130,144.6300
140.4200,145.1800
140.9070,145.7100
141.4040,146.2500
141.9090,146.8000
142.4230,147.3600
142.9190,147.9000
143.4050,148.4300
143.8910,148.9600
144.4050,149.5200
144.9190,150.0800
145.4050,150.6100
145.8910,151.1400
146.3870,151.6800
146.9010,152.2400
147.4170,152.8000
147.9040,153.3300
148.4020,153.8700
148.9090,154.4200
149.4350,154.9900
149.9520,155.5500
150.4420,156.0800
150.9520,156.6300
151.4800,157.2000
151.9990,157.7600
152.5280,158.3300
153.0300,158.8700
153.5500,159.4300
154.0810,160.0000
154.6120,160.5700
155.1330,161.1300
155.6550,161.6900
156.1860,162.2600
156.7080,162.8200
157.2400,163.3900
157.7720,163.9600
158.2930,164.5200
158.8250,165.0900
159.3470,165.6500
159.8780,166.2200
160.4090,166.7900
160.9210,167.3400
161.4410,167.9000
161.9710,168.4700
162.4910,169.0300
163.0200,169.6000
163.5110,170.1300
164.0300,170.6900
164.5570,171.2600
165.0740,171.8200
165.5720,172.3600
166.0710,172.9000
166.5670,173.4400
167.0910,174.0100
167.5870,174.5500
168.0720,175.0800
168.5660,175.6200
169.0590,176.1600
169.5420,176.6900
170.0340,177.2300
170.5150,177.7600
170.9860,178.2800
171.4570,178.8000
171.9350,179.3300
172.4120,179.8600
172.8610,180.3600
173.3080,180.8600
173.7810,181.3900
174.2270,181.8900
174.6710,182.3900
175.1130,182.8900
175.5450,183.3800
175.9850,183.8800
176.4240,184.3800
176.8240,184.8400
177.2500,185.3300
177.6660,185.8100
178.0720,186.2800
178.4750,186.7500
178.8680,187.2100
179.2680,187.6800
179.6490,188.1300
180.0190,188.5700
180.4040,189.0300
180.7720,189.4700
181.1260,189.9000
181.4900,190.3400
181.8390,190.7700
182.1630,191.1700
182.5070,191.6000
182.8250,192.0000
183.1290,192.3900
183.4350,192.7900
183.7150,193.1600
183.9700,193.5100
184.1960,193.8400
184.3930,194.1400
184.5680,194.4200
184.6960,194.6600
184.7880,194.8600
184.8540,195.0400
184.8820,195.1800
184.8570,195.2700
184.8140,195.3400
184.7090,195.3500
184.5950,195.3500
184.4130,195.2800
184.2280,195.2100
183.9780,195.0700
183.7030,194.9100
183.3980,194.7100
183.0570,194.4800
182.6720,194.2000
182.2730,193.9000
181.8400,193.5700
181.3850,193.2100
180.9260,192.8400
180.4380,192.4400
179.9420,192.0300
179.4530,191.6200
178.9420,191.1900
178.4360,190.7600
177.9310,190.3300
177.4080,189.8800
176.8750,189.4200
176.3770,188.9900
175.8360,188.5200
175.2980,188.0500
174.7710,187.5900
174.2450,187.1300
173.7100,186.6600
173.1540,186.1700
172.6310,185.7100
172.0880,185.2300
171.5230,184.7300
170.9940,184.2600
170.4530,183.7800
169.8900,183.2800
169.3410,182.7900
168.8020,182.3100
168.2420,181.8100
167.6820,181.3100
167.1450,180.8300
166.5860,180.3300
166.0280,179.8300
165.4710,179.3300
164.9130,178.8300
164.3560,178.3300
163.8080,177.8400
163.2410,177.3300
162.6940,176.8400
162.1370,176.3400
161.5700,175.8300
161.0220,175.3400
160.4650,174.8400
159.9080,174.3400
159.3500,173.8400
158.7910,173.3400
158.2330,172.8400
157.6950,172.3600
157.1350,171.8600
156.5750,171.3600
156.0470,170.8900
155.4860,170.3900
154.9230,169.8900
154.3930,169.4200
153.8510,168.9400
153.2950,168.4500
152.7630,167.9800
152.2390,167.5200
151.6920,167.0400
151.1550,166.5700
150.6270,166.1100
150.1100,165.6600
149.5690,165.1900
149.0480,164.7400
148.5380,164.3000
148.0020,163.8400
147.4990,163.4100
146.9920,162.9800
146.4850,162.5500
145.9740,162.1200
145.4970,161.7200
144.9820,161.2900
144.4900,160.8800
144.0140,160.4900
143.5270,160.0900
143.0470,159.7000
142.5880,159.3300
142.1040,158.9400
141.6480,158.5800
141.1930,158.2200
140.7300,157.8600
140.3020,157.5300
139.8470,157.1800
139.4080,156.8500
138.9910,156.5400
138.5610,156.2200
138.1460,155.9200
137.7290,155.6200
137.3440,155.3500
136.9300,155.0600
136.5450,154.8000
136.1490,154.5300
135.7850,154.2900
135.4010,154.0400
135.0370,153.8100
134.6690,153.5800
134.3260,153.3700
133.9750,153.1600
133.6220,152.9500
133.2760,152.7500
132.9420,152.5600
132.6180,152.3800
132.2780,152.1900
131.9560,152.0200
131.6330,151.8500
131.3120,151.6800
131.0000,151.5200
130.6870,151.3600
130.3690,151.2000
130.0480,151.0400
129.7450,150.8900
129.4520,150.7500
129.1420,150.6000
128.8300,150.4500
128.5170,150.3000
128.2230,150.1600
127.9350,150.0300
127.6230,149.8800
127.3310,149.7500
127.0290,149.6100
126.7360,149.4800
126.4320,149.3400
126.1500,149.2200
125.8580,149.0900
125.5750,148.9700
125.2930,148.8500
125.0110,148.7400
124.7190,148.6200
124.4470,148.5200
124.1850,148.4300
123.9230,148.3400
123.6610,148.2600
123.4000,148.1800
123.1580,148.1200
122.9370,148.0800
122.7190,148.0400
122.5090,148.0100
122.3170,148.0000
122.1360,148.0000
121.9640,148.0100
121.8210,148.0400
121.7000,148.0900
121.5810,148.1500
121.4750,148.2200
121.3830,148.3000
121.3210,148.4100
121.2670,148.5200
121.2450,148.6600
121.2350,148.8100
121.2420,148.9700
121.2790,149.1600
121.3160,149.3400
121.3930,149.5600
121.4670,149.7700
121.5740,150.0100
121.6770,150.2400
121.8100,150.5000
121.9550,150.7700
122.1200,151.0600
122.2860,151.3400
122.4730,151.6400
122.6590,151.9400
122.8680,152.2600
123.0930,152.5900
123.3200,152.9200
123.5750,153.2800
123.8200,153.6200
