m_chi10,m_chi1pm
135.6100,137.6200
136.5700,138.6000
138.2800,140.3500
139.9900,142.1000
141.7000,143.8600
143.4000,145.6100
145.0900,147.3700
146.7800,149.1200
148.4700,150.8800
150.1600,152.6300
151.8300,154.3900
153.5000,156.1400
155.1700,157.9000
156.8300,159.6500
158.4900,161.4000
160.1500,163.1600
161.8200,164.9100
163.4800,166.6700
165.1400,168.4200
166.8100,170.1800
168.4700,171.9300
170.1500,173.6800
171.8300,175.4400
173.5200,177.1900
175.2200,178.9500
175.6500,179.3900
176.4700,180.2400
177.2800,181.0800
178.1000,181.9300
178.9100,182.7700
179.7200,183.6200
180.5400,184.4600
181.3500,185.3100
182.1700,186.1500
182.9800,187.0000
183.8000,187.8400
184.6100,188.6900
185.4300,189.5300
186.2400,190.3800
187.0600,191.2200
187.8700,192.0700
188.6900,192.9100
189.5000,193.7600
190.3200,194.6000
191.1300,195.4500
191.9500,196.2900
192.7600,197.1400
193.5800,197.9800
194.3900,198.8300
195.2100,199.6700
196.8100,201.3600
198.4100,203.0400
200.0000,204.7200
201.6000,206.4000
203.1500,208.0300
204.6600,209.6400
206.1700,211.2500
207.7100,212.8900
209.2700,214.5700
210.8300,216.2500
212.3800,217.9400
213.9300,219.6200
215.4700,221.3000
216.9900,222.9700
218.4500,224.5800
219.9000,226.1900
221.3300,227.8000
222.7400,229.4100
224.1300,231.0000
225.4500,232.5300
226.7200,234.0700
227.9600,235.5800
229.1200,237.0400
230.2100,238.4800
231.1700,239.8700
231.9700,241.1800
232.6200,242.4200
233.1900,243.5900
233.7000,244.7700
234.1800,245.9400
234.6500,247.1100
235.1100,248.2800
235.5600,249.4500
235.9500,250.5500
236.3400,251.6400
236.7200,252.7400
237.1000,253.8400
237.4900,254.9400
237.9200,256.1100
238.3500,257.2600
238.7300,258.3600
239.0900,259.4600
239.4400,260.5600
239.7900,261.6600
240.1400,262.7600
240.4900,263.8600
240.8400,264.9500
241.1900,266.0600
241.6100,267.1500
242.0900,268.3100
242.6400,269.4800
243.1700,270.6700
243.6800,271.8500
244.1000,273.0000
244.3900,274.0700
244.5400,275.0800
244.5600,276.0200
244.5700,276.9700
244.4900,277.8800
244.3400,278.7500
244.1300,279.6000
243.8900,280.4000
243.6200,281.2000
243.3400,282.0100
243.0600,282.8100
242.8000,283.6200
242.5500,284.4300
242.3400,285.3000
242.1100,286.1100
241.9100,286.9300
241.7500,287.8100
241.6300,288.7000
241.5300,289.5800
241.4800,290.4800
241.5000,291.4300
241.5800,292.4300
241.7200,293.4100
241.9500,294.4500
242.2800,295.5300
242.6700,296.6400
243.1200,297.7600
243.5100,298.8600
243.9000,299.9100
244.1800,300.8600
244.3900,301.7400
244.4900,302.5500
244.5000,303.2500
244.3800,303.8800
244.2500,304.5400
244.0700,305.1700
243.8600,305.7500
243.6400,306.3400
243.4500,306.9800
243.2100,307.5700
242.9700,308.1500
242.7000,308.7300
242.4100,309.3000
242.0500,309.8300
241.5400,310.2700
240.9900,310.6400
240.3000,310.9400
239.5600,311.1400
238.7200,311.2600
237.7800,311.2600
236.8300,311.2200
235.8700,311.1400
234.8500,311.0100
233.8500,310.8700
232.8700,310.7200
231.9200,310.5800
230.9400,310.3800
229.9700,310.1300
228.9100,309.7700
227.7600,309.2800
226.5700,308.7400
225.2900,308.0800
223.9100,307.2900
222.4400,306.4200
220.8500,305.3900
219.1600,304.2300
217.4100,302.9900
215.6200,301.6600
213.8400,300.2700
212.0000,298.8100
210.2200,297.3500
208.3800,295.8200
206.5600,294.2900
204.7700,292.7500
202.9300,291.1600
201.1400,289.6000
199.3900,288.0600
197.6600,286.5300
195.8700,284.9500
194.0500,283.3400
192.2300,281.7400
190.5300,280.2800
188.9300,278.9500
187.4300,277.7100
186.0100,276.5700
184.6700,275.5500
183.4300,274.6300
182.2900,273.8200
181.2500,273.1700
180.3100,272.6100
179.4700,272.1700
178.7700,271.8800
178.1900,271.7300
177.7400,271.7200
177.3700,271.8000
177.1200,272.0200
177.0000,272.3800
177.0000,272.8900
177.0800,273.4800
177.2400,274.1700
177.5000,274.9700
177.8900,275.9200
178.3800,276.9500
179.0000,278.1200
179.7400,279.4300
180.4600,280.7000
181.2000,281.9600
181.9800,283.2700
182.7700,284.5900
183.5800,285.9000
184.4200,287.2400
185.2600,288.5600
186.1200,289.8800
187.0200,291.2400
187.9500,292.6300
188.8900,294.0200
189.8000,295.3700
190.6900,296.6900
191.6400,298.0800
192.6000,299.4700
193.5800,300.8600
194.5600,302.2500
195.6100,303.7100
196.6200,305.1100
197.6300,306.5000
198.6600,307.8800
199.7400,309.3400
200.8500,310.8000
201.9700,312.2600
203.0800,313.7200
204.2100,315.1800
205.3100,316.6400
206.3700,318.0600
207.3800,319.4500
208.3800,320.8600
209.3600,322.2600
210.3200,323.6500
211.2600,325.0400
212.1600,326.3800
213.0300,327.6900
