m_chi10,m_chi1pm
114.1200,116.1200
115.4400,117.5400
117.0800,119.3000
118.7300,121.0500
120.4000,122.8100
122.0700,124.5600
123.7600,126.3200
125.4500,128.0700
127.1400,129.8200
128.8300,131.5800
130.5300,133.3300
132.2300,135.0900
133.9200,136.8400
135.6200,138.6000
137.3200,140.3500
139.0300,142.1000
140.7600,143.8600
142.4800,145.6100
144.2200,147.3700
145.9600,149.1200
147.7000,150.8800
149.4200,152.6300
151.1300,154.3900
152.8100,156.1400
154.4800,157.9000
154.7200,158.1400
155.5400,158.9900
156.3700,159.8500
157.2000,160.7000
158.0200,161.5500
158.8500,162.4100
159.6700,163.2600
160.5000,164.1100
161.3200,164.9700
162.1500,165.8200
162.9700,166.6700
163.8000,167.5300
164.6200,168.3800
165.4500,169.2400
166.2800,170.0900
167.1000,170.9400
167.9200,171.7900
168.7500,172.6500
169.5800,173.5000
170.4000,174.3500
171.2300,175.2100
172.0500,176.0600
172.8800,176.9200
173.7000,177.7700
174.5300,178.6200
176.1700,180.3000
177.8100,181.9900
179.4600,183.6700
181.1000,185.3500
182.7400,187.0300
184.3800,188.7100
186.0300,190.3900
187.7000,192.1000
189.4200,193.8600
191.1300,195.6100
192.8400,197.3700
194.5500,199.1200
196.2500,200.8800
197.9600,202.6300
199.6700,204.3900
201.3700,206.1400
203.0800,207.9000
204.7700,209.6500
206.4700,211.4000
208.1600,213.1600
209.8500,214.9100
211.5200,216.6500
213.1300,218.3300
214.7300,220.0100
216.3200,221.6900
217.9000,223.3800
219.4600,225.0600
221.0000,226.7400
222.5100,228.3900
223.8900,229.9200
225.0700,231.3100
226.1700,232.6200
227.1100,233.7900
227.8900,234.8200
228.5100,235.6900
228.9700,236.4200
229.3000,237.0300
229.5200,237.5400
229.5900,237.9100
229.4900,238.1300
229.2400,238.2000
228.8300,238.1300
228.2800,237.9100
227.5900,237.5400
226.7500,237.0300
225.7900,236.3900
224.7400,235.6600
223.5600,234.7800
222.2500,233.7600
220.8000,232.5900
219.2200,231.2900
217.5700,229.9000
215.7600,228.4000
213.9500,226.8900
212.2800,225.5000
210.6700,224.1900
209.1600,223.0000
207.7600,221.9000
206.5000,220.9500
205.3900,220.1500
204.3900,219.4700
203.4400,218.8500
202.6100,218.3400
201.9300,217.9700
201.3900,217.7500
200.9900,217.6800
200.7300,217.7500
200.6100,217.9700
200.5800,218.2900
200.6600,218.7300
200.8800,219.3100
201.2400,220.0400
201.7500,220.9200
202.3900,221.9400
203.1800,223.1000
204.0500,224.3400
205.1000,225.7300
206.2900,227.2300
207.5300,228.7700
208.7900,230.3000
210.0600,231.8300
211.3500,233.3600
212.6500,234.9000
213.9500,236.4300
215.2700,237.9700
216.6200,239.5400
218.0100,241.1400
219.4200,242.7500
220.8300,244.3600
222.2500,245.9700
223.6500,247.5600
225.0200,249.0900
226.4300,250.6800
227.8600,252.2800
229.2900,253.8900
230.7300,255.5000
232.1600,257.1100
233.5900,258.7200
235.0200,260.3200
236.4500,261.9300
237.8700,263.5400
239.2900,265.1500
240.6800,266.7100
242.0300,268.2500
243.4100,269.8200
244.8300,271.4300
246.2400,273.0400
247.6600,274.6400
249.0700,276.2500
250.4800,277.8600
251.8900,279.4600
253.2400,281.0000
254.5800,282.5300
255.9100,284.0700
257.2300,285.6200
258.5600,287.2000
259.7900,288.7300
260.9500,290.2100
261.9600,291.6000
262.8800,292.9100
263.5900,294.0800
264.2200,295.1700
264.6700,296.1200
264.9700,296.9500
265.1800,297.6800
265.2200,298.2700
265.1400,298.7500
264.9500,299.1100
264.6400,299.3300
264.1700,299.4100
263.6200,299.3900
262.9000,299.2500
262.0000,298.9500
261.0400,298.5800
259.9300,298.0800
258.7100,297.5000
257.3400,296.7600
255.8600,295.9300
254.2900,294.9800
252.6000,293.9100
250.8200,292.7400
249.0400,291.5500
247.2000,290.3100
245.3700,289.0600
243.6900,287.8900
242.0200,286.8000
240.4600,285.7800
239.0400,284.8800
237.6900,284.0700
236.4800,283.4100
235.3600,282.8200
234.3800,282.3900
233.5000,282.0900
232.7800,281.9500
232.1100,281.8700
231.5600,281.8700
231.1800,282.0100
230.8500,282.2300
230.6700,282.6000
230.6000,283.0700
230.6600,283.6500
230.8100,284.3500
231.0600,285.1500
231.4300,286.0700
231.9300,287.0900
232.4700,288.1900
233.1600,289.4000
233.8700,290.6500
234.5600,291.9200
235.2000,293.1500
235.8000,294.3900
236.3300,295.5600
236.7800,296.7100
237.1900,297.8100
237.6200,298.9800
238.0000,300.0900
238.3600,301.1800
238.7000,302.2800
239.0200,303.3600
239.3400,304.4500
239.6200,305.5400
239.7900,306.5600
239.9000,307.5200
239.9000,308.4400
239.8700,309.3100
239.6400,310.0400
239.3700,310.7000
238.9600,311.2500
238.4200,311.6900
237.8400,312.0400
237.1500,312.3000
236.3700,312.4400
235.4900,312.4900
234.6700,312.5000
233.7900,312.4300
232.8300,312.2800
231.8200,312.0100
230.7800,311.7000
229.6500,311.2600
228.4100,310.7400
227.0700,310.0800
225.5900,309.2700
224.0300,308.3700
222.4200,307.4000
220.7300,306.3100
219.0200,305.1400
217.2400,303.8900
215.4500,302.5800
213.5800,301.1900
211.7800,299.8000
209.9200,298.3600
208.0900,296.9900
206.4000,295.7400
204.7800,294.5900
203.2800,293.5600
201.8800,292.6100
200.6200,291.8000
